OBJECTID	SHAPE_LATITUDE	SHAPE_LONGITUDE	SHAPE_LOCATION	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	SHAPE_LENGTH	SHAPE_AREA
139	47.52286063500003	-122.36049366299994	(47.52286063500003, -122.36049366299994)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3828	5833.98	1335532.06
140	47.52282779800004	-122.34927407199996	(47.52282779800004, -122.34927407199996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3829	5394.24	1109445.53
141	47.52280049500007	-122.34545294799995	(47.52280049500007, -122.34545294799995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3830	5628.57	794103.24
142	47.52330724800004	-122.26998609299994	(47.52330724800004, -122.26998609299994)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5830	8870.29	2458235.62
143	47.523293283000044	-122.26455533399997	(47.523293283000044, -122.26455533399997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5834	5960.32	1616540.41
144	47.52116251900003	-122.38747598499998	(47.52116251900003, -122.38747598499998)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2833	8299.63	3092840.98
145	47.51927895600005	-122.37682321599999	(47.51927895600005, -122.37682321599999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2835	4832.47	1269219.99
146	47.51715138700007	-122.27002083599996	(47.51715138700007, -122.27002083599996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5831	5630.87	1257311.11
147	47.517424205000054	-122.37127817699997	(47.517424205000054, -122.37127817699997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2834	11126.95	2175843.40
148	47.51331847000006	-122.26424708499997	(47.51331847000006, -122.26424708499997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5833	6499.14	1940977.75
149	47.511914671000056	-122.37612102699995	(47.511914671000056, -122.37612102699995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2836	4588.56	1208071.71
150	47.508415107000076	-122.24922375099999	(47.508415107000076, -122.24922375099999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5836	4811.51	1070569.44
151	47.51008456200003	-122.38816358599996	(47.51008456200003, -122.38816358599996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2837	7837.92	2516588.21
152	47.506374762000064	-122.24878289499998	(47.506374762000064, -122.24878289499998)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5837	6382.46	1217906.63
153	47.50248595200003	-122.25950640199994	(47.50248595200003, -122.25950640199994)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5832	5540.33	1600753.69
154	47.67598536300005	-122.36602316999995	(47.67598536300005, -122.36602316999995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1808	3954.95	941854.88
